Name,PhysicalATK,BloodATK,ArcaneATK,BoltATK,StrengthReq,SkillReq,BloodTingeReq,ArcaneReq,StrengthScaling,SkillScaling,BloodTingeScaling,ArcaneScaling,Rally,Durability,QsBulletUse,ImageSrc
Saw Cleaver,90,0,0,0,8,7,0,0,0.40,0.20,0.00,0.33,35,200,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjybAixiMW-YNWPYmeMlNLl3wHkaaRIeqeTRIUCXC1EaNvt6mXvg-MaEsti1JoOWp-7kd54qp-t0svU4pt5FmHlX1gG7OCxPLpbUgQR460bXbDX9oaE0DoiJdkm9-RRsEPExKQb-AGt5VU/s42/saw_cleaver.png
Logarius' Wheel,100,0,0,0,20,12,0,10,0.60,0.00,0.00,0.33,30,300,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiEyupt_dbVKqwYyGivaSXYXp_XkgnpOZSMFql7zkOAnrLLNftGMpEXDp5RC52P0RxMOlf1nVbebBwizHnFkaHjI7wx3QPhxJLlH6bAsgXwxxM4qwDl_-q1UPxDp9XsbwdLe2TnYlGVRwQ/s42/logarius_wheel.png
Simon's Bowblade,80,80,0,0,8,15,9,0,0.00,0.60,0.60,0.33,35,140,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjOyVwCCneJbPEfVpw8kNrJonq-9SyvGY6MfQGt9XqffpNJCWJcvrqElf-kLj6N9jKVaUeKE1eWKOLck6in9h7ha6jgljLyDzwvqUdpcY8p9P9Mb63dwBN9QtNG9hwpExEhTj1dLM81oL0/s42/simons_bowblade.png
Kirkhammer,105,0,0,0,16,10,0,0,0.60,0.19,0.00,0.43,60,250,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgr_6ji8q1nVE3S0fJxE4wLXMxHGOh25j3RAe0P1T5sv6GwyPmpza0o2Kwy9KIAIhrALd81B2ZezniQ66qcl6cMLZ_hr0YlOqOniovQiCIJ6ZzGEMqTgCOBVNExrIPR8P7isPb6wpBzqCg/s42/kirkhammer.png
Beast Claw,75,0,0,0,14,12,0,0,0.40,0.25,0.00,0.35,25,180,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjBW1iBTwCIFla2wFhYgjKoedjSL0I0XjlJrMCNneo7ihgke0DEKoGxXM8x_frq8hymVIhtEga1zSLw_KI6mOVqIS475a_ll0U1FtTmt7X0cpi00-mFcFReqUeFjhuz-k-Z-sVCgQX7N60/s42/beast_claws.png
Ludwig's Holy Blade,100,0,0,0,16,12,0,0,0.50,0.40,0.00,0.49,60,250,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgxnT9e5HMYMrwtATYOQSABg3NmgglFrl03aTToMK9EidTiaOCend6BB3v4XcgFIe0eBAbj4ATU4hqWI4jAQjR7480aQpeU4NFgIvmWWnp2_YMMkio_Bqy1dGTQzFjou-EaPmi08tWcqdA/s42/ludwigs_holy_blade.png
Rifle Spear,85,85,0,0,10,11,9,0,0.20,0.50,0.35,0.38,40,180,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj42RLko31atwM_3yO77Q-BGaxdnP5VtJS5SL4B4_lK0rUxN2WeTjVcz2mtYe2AY4T1jh2ZZ3Y1A6PaYFJw2cylWZaBx3tFLUFzLKkCeH-mRY_RWESnQ_qQcfvAIvFmVcjYb4vbvsu-nSM/s42/rifle_spear.png
Kos Parasite,0,0,0,0,0,0,0,20,0.00,0.00,0.00,1.00,30,600,2,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEil0doUDtLJhj5DhwZH3rZhA1Tkc08gDv6TlViUyKmP7DH9lgUXwFek60gigKnnZmGeG7vEAdGEJ2eBnZ7kGuZMWkIM2HRtVbW8hQ59AQB6cr5weXIty7N3dDEweAXXnY3i7UPUbuwpuAk/s42/kos_parasite.png
Tonitrus,80,0,0,40,12,8,0,0,0.45,0.15,0.00,0.33,45,100,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi2wSNr2gUcMSjViRPYQscYkytf9gvlYKbn_-YOeMCLLu0H9Y_IS-zZD5a28cdmJrAQ7EBnuIZCltZKmVChhOg11FRfllUE-8f-g0gxHzoiv0_xccD5ntRR7alxq4bDqAibxEknY5pas1Y/s42/tonitrus.png
Church Pick,88,0,0,0,9,14,0,0,0.20,0.50,0.00,0.38,50,250,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWWm6B2h6xW0El1CAfXA_ZuvMdOLKjxL6TEm4OOM1MMkzuBB3RIS9oUlAabNImhyphenhyphen9qQu2AW6NT-x5FdrClf-r9dqA4_5SWr-ic3AjuJsVyiBAAASEfc5BbGQ_iriUDIZwx5UgD6X8J5cc/s42/church_pick.png
