Name,PhysicalDefence,VsBluntDefence,VsThrustDefence,BloodDefence,ArcaneDefence,SlowPoisonRES,RapidPoisonRES,FrenzyRES,BeastHood,TypeOfArmor,ImageSrc
Ashen Hunter Garb,100,110,80,110,70,25,45,60,70,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEheCQv6KMn1CiayXILIOvuHAjPvYOogYXlND6pQ-36VoRc-vmYVP4MrzkxM0gpTFgTOWfSTZz4Chx-LQZgTjmj0JNlaCbuQ5YNZOD6k8LnPvYXotFSt29iVo6a0xLJoNS-DRZ9TH6yBoyM/s42/ashen+hunter+chest.png
Beast Hide Garb,120,120,70,80,60,38,31,20,66,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjOnjBNJadCRfCqcZfPaWU9WmaZf74_HaWMlldlSbb4fbfhsWg4sxTwZ_hP7g9feJlIlCB6kl650h5WSHi3zGD8BpaqUCk7sVO8bCQBkuySg7wO_cqFRFlRpw-kWSo7yHMUpSloIhO2ad0/s42/brador+chest.png
Black Church Garb,90,90,110,110,110,60,58,9,40,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhPXg-1xuQQA9eygK03aeezns-g5qbEswIlsNUYr99AKVfzNoIJTCm-sTcXgd31tDxxeATIBbLBFT8qXWQJ04A1XCilFsiKHrQbzFRxlB0dHk_T6qvta5YueNuVB6QQooyDVJD49VPF5kg/s42/black+church+chest+male.png
Bone Ash Armor,110,80,100,40,40,33,29,41,25,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdvHvfRWt3feN8dMZXr2ad5pULoHyjhYhrjDlocZOMi0XNqHF4Mi9jJHPXEyViyeX98kaX_CynQ1o8eYmVv3FC22gd0QCseOESHDWevhOUp53-PbCZfR5jnesOL_pLx-vTpYvTAwI8SmE/s42/bone+ash+chest.png
Butcher Garb,100,60,100,60,90,53,59,33,29,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlfbF7r5VXG8WW_giz6QGxQZxGZY2lDdGyw5gK52KQrEEHTV8ACh3Cl8h59XWQxvnTgjdjHjHjz7GKK0JW5mip9axUc1tNCmq2bt00we7KdgBlkM4_xVY9TozKvbXF1Wjult2n3opkya8/s42/butcher+chest.png
Cainhurst Armor,120,70,110,120,40,36,40,26,22,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh0qhVMslM-t5iW51wITjGiaBfQINLYlrukSek-BQt8zrvXOunb_MzUmcrYTwGW5iQg2E5vVwreucxhyphenhyphenwvyyXmJGXiBUcuSxQ8R2Qwe-GyRyq70aYyG0ca7T47NJ9ZRMJbQJO_F7HamiBU/s42/cainhurst+chest.png
Constable's Garb,90,100,70,80,100,44,35,23,52,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjdf7GeAVERhV-RtUSDk8xILtEgS3v-qdV7Px4lLjWw1lzx6IKFBRmMLi9LOUxUBVXXP4KOzIZuApJ6aTZGRwk7Y0X2HDfR35-1sAvHlFPxoKtnD5sP5ZC65squRLN7jvZ92sjPwifZ7tU/s42/valtr+chest.png
Crowfeather Garb,100,110,80,120,70,29,37,46,21,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwlhJRocXbBEIjRH11kyj68cfiKQCFO18tdvEEHLDjFJ03y9rJMZmA1QP-ONB4PEL-tIAq1ktK9alHQkGWcobOHqpfmHTy8XwSasTPgWmdLZ6tE7n8lOTooFYBGjFEtb_MFHDYH0hYwGE/s42/crowfeather+chest.png
Decorative Old Hunter Garb,110,70,80,110,60,36,23,38,48,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhyBD5bkBKISOsXQDoCbzaS_TtnvjFV6TAWckZUhBrS2tKolAv2QKhEvWzpCGs4YILmtZpIrwcJKrZbAeM9I-OFfBo0yup-aIFhR3QOICjcIJ8FllyoDvtEI9IBwGLeFvBFX-INPQqWEVU/s42/decorative+hunter+chest.png
Doll Clothes,30,30,30,40,40,42,31,38,31,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh4O88YTea4wSeNziqpfhZhrQBZ6xOij7w-J2X23n7N7Z8NJXipcjg59doCxmCzhTCOOJH01uDZ1nKXSOu_hTi-MV261khgmIbgYLfML1YnmT-XTroh7KhKSMGV4sAVic_qeX-9FOQYhhY/s42/doll+chest.png
Executioner Garb,90,120,110,100,110,53,45,17,45,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjR6CfP4Av90_tXWwawFyjVMektlxCbNDw3ArKKuR0nVtfQjMYeoPNchsbbCrNa0Ethzv6wU_JJrf4NqxTk2_og2nEMlyTEr5SbNa1zNRRldr31qdQROvymJzPGNKOc-UpkzdzngqkHkP0/s42/executioner+chest.png
Foreign Garb,60,60,40,50,40,27,19,27,16,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhko2-UNwhW8ZSYqz-mHEoLuLyW1yirV1KoGy2eJqVGu1f8HQR6r82YyCgqvKna5toIqdzsLHCjDP9IxSi4GV5UmS7KGgObPjtRlN0C9HWRJ8-IP90gqbIHzRahwc0UmzhuEjoM0Ednenc/s42/foreign+chest+male.png
Gascoigne's Garb,90,110,100,80,110,52,40,23,45,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhYLA9ClyIomuRgUm5f8rWRtgZMZyjLP1dcCuzZHWgA9sxfraF_lT3LH8RuIEjZQiDfi__jwH8oDtvv9XHsr3VjEBoG9bkWxQ4ieM9OCN6trW8EtuicIQ6htLk6WBhUEAqsHrRf_Zl-5tU/s42/gascoigne+chest.png
Gehrman's Hunter Garb,100,80,80,100,50,33,37,52,46,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjDgtIAaooA7DLkj3yvRTHKWtAF_1FdmtnenTsc5wMDZyL0steqQiCwwtVP328IGIA-ypd2RiF-fkR7oj-qcgeNH3cDkoWVkA_eBnhyeeokbxux9aDiX_F8-Mx_ZlJrM4Dk-2RmZHO59TI/s42/gehrman+chest.png
Graveguard Robe,80,80,90,80,100,50,49,49,40,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwHNJIqLwqx7jY0Kw4-z12qXKmH9zSrYe8bsYDlTv3pmW_NXBoQBRUNgv9TYd4Waq_IyGJMsUlytmkjImkOu4qnTKS-J2D2IjMa-1Kfpjv0zt4HDjm8U2uG6fWu3HqRgnZIbPtmq3_dhk/s42/graveguard+chest.png
Harrowed Garb,120,80,90,90,110,56,58,9,44,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEidTSfXi3F-uJhBLLtzewOmcj8LvnFM6UUrimDepkBYbzQteLSu1G0Cd9HAxeXH8BTen4XpUrt7332NIeoAKyrQKmTJxnZMXUmw46h5VPgo26rIKRTEWhxWvHrONqQ4VU32ESMcWkeMMhQ/s42/harrowed+chest.png
Henryk's Hunter Garb,100,100,80,80,70,21,41,45,60,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh4_6G_1PlkdQ1vBogeJLmbIZKsUhDD9QLNkKARn0-rCvJKCRQTb1mKOobRx9sSF80GsEdlAM_u5Pm0nUTz6wp6xfXOFUEudK4G8-WnVCW3bQJx9A7hSPboUl0k7e4ERItKf9-NJ-3FwVs/s42/henryk+chest.png
Hunter Garb,110,100,80,110,40,17,33,56,58,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh2BeacMi2wO8o1hTymG_3xl9Ix6aafYgRPwcEIZ5gpkkd1ec5N4VQSRPLJmWl1OH_yHVkz6ok_Rala_XYSjKit14zWbV0llD_yUUsYyOWaUFR9jwqlbFUkTTGk689piwt13rNAn4JtZls/s42/hunter+chest+B.png
Hunter Garb (Cape),110,110,80,110,40,17,33,48,44,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgOC_46hXWRUDwMqC_18WHZfuoKtCJai6-VQ8yGwPev1S5_oNVK411kB8IROpBCiPQTfe9BTcTc4aWfsZji5AFItGQN2azoIZFbNNnCVmo4RGNXOtWxISKE9pxVHiU9F7iUpByNQpS6Zt0/s42/hunter+chest+A.png
Charred Hunter Garb,110,100,70,100,40,29,37,45,58,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh58COoN9qZvKx7LPPjLQhMkSVrWclG_bSF97hc5WJmTOUrSNnoixhaRNYnsWKyVde_JSkMLJ5cOqxFsIQOdhXQpeYOxKRw9qjuDoD4jMtu0sq1QLenKgnroOofpGXNgoDRaLeH-gPITDw/s42/charred+chest.png
Choir Garb,80,80,80,80,150,46,38,16,38,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg3k1_ARO4mdM1ZVt9wHIfIwiIgiCRnL68lROs34iTRNjMb8MUWiGPSN9991ERMtqxeu2HjAQrQIBx8yNdEKGEFZ_hrxZNU5-D0uZaG6zf4zNC2C55_DwHRSfxUxiSTsmDMpWt78myPisY/s42/choir+chest.png
Khaki Haori,80,60,70,90,80,37,34,25,18,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgmhsRjMDUgOQzvKzO6Ng3HoScJrB8eV5pjOCK7o6prdinvaamP-PCcyOhF9CjyvOBAZEiE52pCQl5cIK9KdJcw8hMy8GpQ0DUhk24_TDgNmgGPT3Z-jqvBR6vxBsYbyV0iv7jwgWJorYw/s42/yamamura+chest.png
Knight's Garb,90,70,80,140,40,26,43,40,36,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiZe0xdnEvj4XhNOmeY-3qXFkFh-VnRTjluwnM-e8_LhVPNzOdsIIG2gcDAHZeMDuGr_n9QOj9depkAE8E52B9Coy4AFQwMJi5xcWgDy1LrMAkjYth8-s8WPn3cvTUUmQF7zXaTcM8TShQ/s42/knight+chest+male.png
Madman Garb,80,70,80,80,120,59,52,4,29,Chest,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhGAYsULGyDy8HT6lm_EvjkBBx5tTp7fdrMgHtB4RtRI6ymjXIhoFBtaSB78Le9Jz0M7mBDr1piX3SEFzIQdQGIZjj7a5x39Nti6w1fw9ZFyc8qCBrIq510tAAORmEKqrL6xvHk7-5PBio/s42/madman+chest.png
