Name,PhysicalDefence,VsBluntDefence,VsThrustDefence,BloodDefence,ArcaneDefence,SlowPoisonRES,RapidPoisonRES,FrenzyRES,BeastHood,TypeOfArmor,ImageSrc
Ashen Hunter Gloves,40,60,50,40,50,13,24,28,32,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhFryn70TifVxmYGDgUrWHudLAf4R4LFzh6Z6G6PqzUbjQduWdA4WNOiKEci2ewna8rlFA9ySRQT2i3ABdEauwqkPXsc6KcTyUeNbPHm95PVWrB8iyuNdr3w90GuVN-7D4CBKKJORFUHso/s42/ashen_hunter_arms_fixed.png
Bloodied Arm Bands,30,40,30,40,40,10,14,14,36,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjFC4MrqOhDGG47BxGuaTwqBK7lE90QkNM2jNVkJjntyxSAeoVcHwGFDp-czApzzbMd4YyrW72LsI5sPAJEUY9emiBIUs15KlkPR8GJVlYKQMka7MjH0HcSp7lR1jGyWunjAolD27AKsek/s42/brador+arms.png
Bone Ash Gauntlets,60,30,50,30,40,17,15,22,13,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBDKaIov7w7An5Qr5eZIxCkdWzp5LWrhKLzqVKOU16RfPaTH4Vqm0VLUl705TzI4_nP_5nvb2YB9-HmXcU1BXbS4hwFh5A1HigPoT6HhSxG6Nv2lHin-a-4WeFBf0u5G0uYZa5uMu-grQ/s42/bone+ash+arms.png
Butcher Gloves,60,40,60,40,50,27,31,17,15,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjap3CNGi9h58_LIoP4mOy27jvxvBVmvi9EZUenchXkVB_2-bjunBxlser3wuX-rKoduPp28DzltrDgh1nUWMgh2MJQL41KIgKtjCmDlpYNzAHoJBXu1t4Ki0YadSS6sL6UXFFKVq8kUFg/s42/butcher+arms.png
Cainhurst Gauntlets,60,30,50,70,40,19,21,13,11,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgKCjw_LYDSRJnC4jpwbx-mAguVdDHsfidShwgv3Hzp3a8dzvADZsu4W_qAFz8me5u9ISvwgAArAkV_0I_PlYlUDw906vNxc39KexXPGCRXpsmoBiMXnA9GdYdMLyFnzyVNQIlkN5g-23s/s42/cainhurst+arms.png
Constable's Gloves,60,60,50,50,50,23,17,12,31,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgrnoPelCmWhevnOjNtpY8TavlC5Wsrey0PrCZOHnp1eET4qC_A0y9qPjMD2M7zd5NVx0G4RlIfrioWaZc2WwGSQjoOxHwlI_WhpwahwIc4w4uErIeFVT6Edx8hQfza6chkQePaPruKcoY/s42/valtr+arms.png
Crowfeather Manchettes,40,60,50,70,50,15,20,25,11,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEglJO8AAZWCgTHUOEJUzpBPOldkNJ9T3OglbigPi4686B9tyi6Tx-GjZ9XAI-0fiYnsQPXirtvdo6Ap9gKALHmeTcrQkrvFA0h5dfNagbJO1bHsu6hhf38Yya4FgY5mCiQ8NxTG8zjuEBk/s42/crowfeather+arms.png
Doll Gloves,30,30,30,40,40,22,16,20,16,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDKpYI0u5olTdoYG1xps2PhVJAV9koq4UlTSoVA8Yi70uwY8ZMMPAM-JUEJ8kVe1mEUI4_q7rTv1pLp4OEeQqiybL35rOFBQAg4hju4djqh6puyST3YZ4WQ_8JxWmrokec9lcc7g3jBFM/s42/doll+arms.png
Executioner Gauntlets,40,60,40,50,60,26,24,9,24,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiaBAuqHhLXxATe7sMFll80bWpdKHd5Jj8Fjqyww-NVCXQhIJ_ZMBQlJOFjxagfkIw2LbiBtUu9B6EQXGAJUpgTZjbnaHuDZXrrzZmY7mCqcrRFi2bPI__ZmxA5p3ETK3XHgfDSh1NDL6E/s42/executioner+arms.png
Gascoigne's Gloves,40,60,60,50,60,28,21,12,24,Hands,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhwYNPBGLRhp2Og4aBEusMYOIZ5M5uf_FWPYF_JkHTpSZkZDGEXsmLjg1_KJHbehQ2NA-lXMZAgacJNeffq3APzVP2v8Uq9Fa3GUsW-I_GVGh6n-61csEvDN-kSbr58T94xOVfYwbIpcLs/s42/gascoigne+arms.png
