Name,PhysicalDefence,VsBluntDefence,VsThrustDefence,BloodDefence,ArcaneDefence,SlowPoisonRES,RapidPoisonRES,FrenzyRES,BeastHood,TypeOfArmor,ImageSrc
Beak Mask,50,40,40,60,30,8,10,40,2,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEipTn3wQW7x5NjBj1P87bjhr3joC6pAJv3PmJLW43hmZt21GoZaP9OUi2FyCm9hSQt0QtIr3Lk6-u499L2JOzpP7-i-BeUXruU0wlqWHxRez42fjIbrV_WWQrLvm0wVC6N2-E_NGzxNEug/s42/crowfeather+head.png
Black Hood,20,30,20,30,20,8,6,8,4,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgp3mVbQyrXc0GNHilEcrsOcxWCmEC02B7eFgUpz3nf3JyfFlotu_yreAeFGjNrMzBUWvDoCwhSHMvMwW70UCdh0DQqEKf3VknwEaNBS0pgXJQU5AfblRvIbs3jVa-nxBFPypUlUcWn8tI/s42/foreign+head.png
Black Hooded Iron Helm,60,40,10,20,20,13,12,12,8,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg-tDkiiRFTkEOtIXxVp6vhwWsjIaN7PgDK5jF61n_rsvsU2uOxxCWqfxdYWYAsfFzmnq3HCM_j4iKjvkY7LsiRy2g0780MZY5_iK3DIhVQ6vZRjqtSultxf_oLMCtZSsKcThV7X8I44tQ/s42/yahargul+head.png
Black Church Hat,40,40,40,50,60,20,19,2,13,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEixehbdpAr9QI8ysqUJWsuYIdRGiJ6SpW0Ttrd0G8xCDy5YZq9fUQ4BDZAoF_Lbhfjs3I634h0damxzkm-UgEQ2nPDnny5TUOjjpHPpv6lB_rGBGvLd1YgWlGlVyM3YBXkLAfGOXtbUaU0/s42/black+church+head+male.png
Blindfold Cap,30,40,40,40,70,15,13,4,13,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgqc8wQDKMeYD8UhWHzu_NlZvBO9VZV6GxnaIL6kch8FitIyN8GgbQyz2ybQgyxQE8QUtT0HC9AZVO9xSmLgDpsDi8bgbPnd7qLsQIp2FH4mIJxPUmB60AXGW5IN-J2uNrXLsRNrAw2KeM/s42/choir+head.png
Bone Ash Mask,60,30,40,20,20,11,9,14,8,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEimUgWKZquicPQW_A9V2ZoEUVRGZ-XELG9JH6HoG1jtz2JXiiT3JqsYFk5R3qSCiIBlWV8ZWlYep8kzzOQYbBZ8m4is4eUYaNqjPx0FnfdouSCZADRAjuNANM8p3lUmnz3QvgPLLejjVTM/s42/bone+ash+head.png
Brador's Testimony,50,60,50,50,20,18,10,6,56,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiW-oYT9BgBeoyUWfWbp7YhIx84yaO6dNQqOoz1jsj7lsJFLbuu5arBS8NaaUgVHnkw9rJ802eNwEkTaeZveU4r8ts0aJkqaFWvjbyNea_7zv8EqtlO86FFADJqMf7j_-CLS36sE41iTqc/s42/brador+head.png
Butcher Mask,50,30,50,30,40,20,19,11,9,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi2iaJE3rNQfAHcUZS-Fsp1DkpwVLZodL_rWEltiVq3mkAC48nqhMpkPeSz9x-KjF1ZPpK18vPEGNxL-nDUafvA6-DXn1mnuxYxXcSEEqH3UZF6r49RzFu9T-dXTMXIll7FgURGiLuy8SY/s42/butcher+head.png
Cainhurst Helmet,60,40,40,60,20,12,13,8,7,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjSg3MD7iueZZQzthP9TZ7UPhiwq6Qqc653tIAeYPmN2WMREMEvrsy380mvNbyCCPdY7MHqcGiwyohFXUHAyXDqukOguDEZ_uwqRH1o8ZMXvis7DfxO0BgT2YngDO4kn18U0a7ak7l3sVE/s42/cainhurst+head.png
Crown of Illusions,40,30,20,70,50,7,7,4,4,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi4BzgxThN4hLLT6ldz0l_HrB2YilMxml1RFYN_EWONzOS9DhDi1xPLiQRPvcDd-GiS6I3AEDWGmU_rOw0iDP9WfubE_kabs6YV4wCAzN4UC1ldHnvaHtBjzSKvGj7YJLceCrv7iAmbGEg/s42/crown+of+illusions.png
Doll Hat,10,10,10,20,20,14,10,13,10,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLYes6BUmJai4ZU-SkUX8ZDRMXVte_bEfkqlB5Wc-R4MLDIfGxHRK7hxD_pBgpmNqfX57CdDGMIViAoe8FMRHfGOAA2p_5vdQ2KxcCzrylBVHLn2YdaA7VZCvCVYUVXx3ajgmOoA0JmkM/s42/doll+head.png
Enlarged Head,20,60,0,20,50,6,6,1,0,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhT5-_f81Z9CUP8SYZ_ZP3IWtl478fAv6CZUfQJg01nMoMmU3kVCNAm6yaBCUTSBqAOQiQx3DTXUUgsh_89Q6-fAoJUoPEEr7MaryNBxu4Ca4Zd4cxGe2AbZlbvKP_iknHiGLTx49bQGMA/s42/enlarged+head.png
Gascoigne's Cap,40,40,30,30,50,17,13,7,15,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlcydpK6vmxxObDMa0QAmNv5cw7nQQ2RfYE_8uZWzMlN28TgqmUYj_NrvXkCrwmfCzgYIeBgIYmLB8dqFnj3Eh-y81I-5YlDefmgb4wrEc0k9K-V6-sIpEz_m57ZG7kJbA9Ii-hO0ub9A/s42/Gascoigne+head.png
Gehrman's Hunter Cap,40,40,40,50,30,11,12,17,15,Head,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg4JHygkTwEIbqRMT1Xy6CFxqLlIgMN76mkp3PurJiKjHzuQR8KAw7xHoo2KxZkMFeTuzfXrSqCJ8BOr4rQPXcsVufa2AvLRyqZFWMcxIascYThafRkC1urh36cdISif0D0mBLsNJjE-qA/s42/gehrman+head.png
